strain,Sample name,Meropenem MIC (centralised re-testing),ompK35 functionality,ompK36 functionality,Colistin resistance
GCF_900516015.1,EuSCAPE_IT335,32,Non-functional,Functional,Sensitive
GCF_900516205.1,EuSCAPE_IT368,32,Non-functional,Functional,Sensitive
GCF_902156195.1,EuSCAPE_IL011,32,Non-functional,Functional,Sensitive
GCF_902156865.1,EuSCAPE_IT370,32,Non-functional,Functional,Sensitive
GCF_900506835.1,EuSCAPE_BE070,32,Non-functional,Functional,Unknown
GCF_900506825.1,EuSCAPE_BE071,32,Non-functional,Functional,Unknown
GCF_900506875.1,EuSCAPE_BE073,32,Non-functional,Functional,Unknown
GCF_902156265.1,EuSCAPE_BE091,32,Non-functional,Functional,Unknown
GCF_900507035.1,EuSCAPE_BE093,32,Non-functional,Functional,Unknown
GCF_900512815.1,EuSCAPE_IL024,>32,Non-functional,Functional,Resistant
GCF_900512845.1,EuSCAPE_IT024,>32,Non-functional,Functional,Resistant
GCF_900512875.1,EuSCAPE_IT026,>32,Non-functional,Functional,Resistant
GCF_902156325.1,EuSCAPE_IT030,>32,Non-functional,Functional,Resistant
GCF_900512935.1,EuSCAPE_IT034,>32,Non-functional,Functional,Resistant
GCF_900512975.1,EuSCAPE_IT036,>32,Non-functional,Functional,Resistant
GCF_900513165.1,EuSCAPE_IT060,>32,Non-functional,Functional,Resistant
GCF_900513325.1,EuSCAPE_IT072,>32,Non-functional,Functional,Resistant
GCF_900513335.1,EuSCAPE_IT074,>32,Non-functional,Functional,Resistant
GCF_900514135.1,EuSCAPE_IT017,>32,Non-functional,Functional,Resistant
GCF_900514185.1,EuSCAPE_IT020,>32,Non-functional,Functional,Resistant
GCF_900514485.1,EuSCAPE_IT226,>32,Non-functional,Functional,Resistant
GCF_900514495.1,EuSCAPE_IT228,>32,Non-functional,Functional,Resistant
GCF_900514555.1,EuSCAPE_IT236,>32,Non-functional,Functional,Resistant
GCF_900514695.1,EuSCAPE_IT250,>32,Non-functional,Functional,Resistant
GCF_900514685.1,EuSCAPE_IT252,>32,Non-functional,Functional,Resistant
GCF_900514805.1,EuSCAPE_IT112,>32,Non-functional,Functional,Resistant
GCF_900514935.1,EuSCAPE_IT132,>32,Non-functional,Functional,Resistant
GCF_900515385.1,EuSCAPE_IT194,>32,Non-functional,Functional,Resistant
GCF_900515555.1,EuSCAPE_IT394,>32,Non-functional,Functional,Resistant
GCF_902156395.1,EuSCAPE_IT288,>32,Non-functional,Functional,Resistant
GCF_900515905.1,EuSCAPE_IT316,>32,Non-functional,Functional,Resistant
GCF_900515955.1,EuSCAPE_IT328,>32,Non-functional,Functional,Resistant
GCF_900516005.1,EuSCAPE_IT337,>32,Non-functional,Functional,Resistant
GCF_900513245.1,EuSCAPE_IT070,>32,Non-functional,Functional,Resistant
GCF_900514605.1,EuSCAPE_IT248,>32,Non-functional,Functional,Resistant
GCF_900510515.1,EuSCAPE_AT012,>32,Non-functional,Functional,Resistant
GCF_900514095.1,EuSCAPE_IT009,>32,Non-functional,Functional,Resistant
GCF_900514285.1,EuSCAPE_IT205,>32,Non-functional,Functional,Resistant
GCF_900516095.1,EuSCAPE_IT349,>32,Non-functional,Functional,Resistant
GCF_900510555.1,EuSCAPE_AT014,>32,Non-functional,Functional,Resistant
GCF_900511185.1,EuSCAPE_AT017,>32,Non-functional,Functional,Resistant
GCF_900515155.1,EuSCAPE_IT160,>32,Non-functional,Functional,Resistant
GCF_900515265.1,EuSCAPE_IT172,>32,Non-functional,Functional,Resistant
GCF_900513445.1,EuSCAPE_IL048,>32,Non-functional,Functional,Resistant
GCF_900513565.1,EuSCAPE_IL060,>32,Non-functional,Functional,Resistant
GCF_902156065.1,EuSCAPE_IL063,>32,Non-functional,Functional,Resistant
GCF_900514305.1,EuSCAPE_IT199,>32,Non-functional,Functional,Resistant
GCF_900514795.1,EuSCAPE_IT114,>32,Non-functional,Functional,Resistant
GCF_902156895.1,EuSCAPE_IT386,>32,Non-functional,Functional,Resistant
GCF_900513345.1,EuSCAPE_IT082,>32,Non-functional,Functional,Resistant
GCF_900513385.1,EuSCAPE_IT086,>32,Non-functional,Functional,Resistant
GCF_900513375.1,EuSCAPE_IT088,>32,Non-functional,Functional,Resistant
GCF_900515025.1,EuSCAPE_IT140,>32,Non-functional,Functional,Resistant
GCF_902156885.1,EuSCAPE_IT100,>32,Non-functional,Functional,Resistant
GCF_900508535.1,EuSCAPE_IT096,>32,Non-functional,Functional,Resistant
GCF_900514635.1,EuSCAPE_IT106,>32,Non-functional,Functional,Resistant
GCF_900512885.1,EuSCAPE_IT028,>32,Non-functional,Functional,Resistant
GCF_900512925.1,EuSCAPE_IT032,>32,Non-functional,Functional,Resistant
GCF_902156225.1,EuSCAPE_IT258,>32,Non-functional,Functional,Resistant
GCF_900515535.1,EuSCAPE_IT384,>32,Non-functional,Functional,Resistant
GCF_900515585.1,EuSCAPE_IT388,>32,Non-functional,Functional,Resistant
GCF_900515765.1,EuSCAPE_IT262,>32,Non-functional,Functional,Resistant
GCF_900515885.1,EuSCAPE_IT264,>32,Non-functional,Functional,Resistant
GCF_900515985.1,EuSCAPE_IT330,>32,Non-functional,Functional,Resistant
GCF_902156765.1,EuSCAPE_AT027,>32,Non-functional,Functional,Sensitive
GCF_900511195.1,EuSCAPE_AT018,>32,Non-functional,Functional,Sensitive
GCF_900512125.1,EuSCAPE_IL004,>32,Non-functional,Functional,Sensitive
GCF_900512105.1,EuSCAPE_IL009,>32,Non-functional,Functional,Sensitive
GCF_900512215.1,EuSCAPE_IL018,>32,Non-functional,Functional,Sensitive
GCF_900512235.1,EuSCAPE_IL020,>32,Non-functional,Functional,Sensitive
GCF_900512245.1,EuSCAPE_IL021,>32,Non-functional,Functional,Sensitive
GCF_900512785.1,EuSCAPE_IL034,>32,Non-functional,Functional,Sensitive
GCF_900512805.1,EuSCAPE_IT022,>32,Non-functional,Functional,Sensitive
GCF_900512965.1,EuSCAPE_IT038,>32,Non-functional,Functional,Sensitive
GCF_900513035.1,EuSCAPE_IT044,>32,Non-functional,Functional,Sensitive
GCF_900513065.1,EuSCAPE_IT048,>32,Non-functional,Functional,Sensitive
GCF_900513295.1,EuSCAPE_IT078,>32,Non-functional,Functional,Sensitive
GCF_900513365.1,EuSCAPE_IT084,>32,Non-functional,Functional,Sensitive
GCF_900513395.1,EuSCAPE_IL040,>32,Non-functional,Functional,Sensitive
GCF_900513435.1,EuSCAPE_IL041,>32,Non-functional,Functional,Sensitive
GCF_902156715.1,EuSCAPE_IL058,>32,Non-functional,Functional,Sensitive
GCF_900513575.1,EuSCAPE_IL059,>32,Non-functional,Functional,Sensitive
GCF_900513685.1,EuSCAPE_IL070,>32,Non-functional,Functional,Sensitive
GCF_900513695.1,EuSCAPE_IL076,>32,Non-functional,Functional,Sensitive
GCF_900513735.1,EuSCAPE_IL078,>32,Non-functional,Functional,Sensitive
GCF_900513755.1,EuSCAPE_IL079,>32,Non-functional,Functional,Sensitive
GCF_900513865.1,EuSCAPE_IL086,>32,Non-functional,Functional,Sensitive
GCF_900514005.1,EuSCAPE_IT001,>32,Non-functional,Functional,Sensitive
GCF_900514085.1,EuSCAPE_IL033,>32,Non-functional,Functional,Sensitive
GCF_902156565.1,EuSCAPE_IT013,>32,Non-functional,Functional,Sensitive
GCF_900514145.1,EuSCAPE_IT015,>32,Non-functional,Functional,Sensitive
GCF_900514225.1,EuSCAPE_IT196,>32,Non-functional,Functional,Sensitive
GCF_900514275.1,EuSCAPE_IT102,>32,Non-functional,Functional,Sensitive
GCF_900514475.1,EuSCAPE_IT216,>32,Non-functional,Functional,Sensitive
GCF_902156575.1,EuSCAPE_IT222,>32,Non-functional,Functional,Sensitive
GCF_900514445.1,EuSCAPE_IT224,>32,Non-functional,Functional,Sensitive
GCF_900514465.1,EuSCAPE_IT104,>32,Non-functional,Functional,Sensitive
GCF_900514545.1,EuSCAPE_IT238,>32,Non-functional,Functional,Sensitive
GCF_900514515.1,EuSCAPE_IT240,>32,Non-functional,Functional,Sensitive
GCF_902156235.1,EuSCAPE_IT242,>32,Non-functional,Functional,Sensitive
GCF_900514645.1,EuSCAPE_IT246,>32,Non-functional,Functional,Sensitive
GCF_900514655.1,EuSCAPE_IT254,>32,Non-functional,Functional,Sensitive
GCF_900514675.1,EuSCAPE_IT256,>32,Non-functional,Functional,Sensitive
GCF_900514745.1,EuSCAPE_IT108,>32,Non-functional,Functional,Sensitive
GCF_900514755.1,EuSCAPE_IT110,>32,Non-functional,Functional,Sensitive
GCF_900514765.1,EuSCAPE_IT090,>32,Non-functional,Functional,Sensitive
GCF_900514855.1,EuSCAPE_IT118,>32,Non-functional,Functional,Sensitive
GCF_900514825.1,EuSCAPE_IT120,>32,Non-functional,Functional,Sensitive
GCF_900514865.1,EuSCAPE_IT122,>32,Non-functional,Functional,Sensitive
GCF_900514875.1,EuSCAPE_IT124,>32,Non-functional,Functional,Sensitive
GCF_900514885.1,EuSCAPE_IT126,>32,Non-functional,Functional,Sensitive
GCF_900514895.1,EuSCAPE_IT130,>32,Non-functional,Functional,Sensitive
GCF_900514975.1,EuSCAPE_IT134,>32,Non-functional,Functional,Sensitive
GCF_902156295.1,EuSCAPE_IT152,>32,Non-functional,Functional,Sensitive
GCF_900515255.1,EuSCAPE_IT174,>32,Non-functional,Functional,Sensitive
GCF_902156245.1,EuSCAPE_IT178,>32,Non-functional,Functional,Sensitive
GCF_900515325.1,EuSCAPE_IT182,>32,Non-functional,Functional,Sensitive
GCF_900515295.1,EuSCAPE_IT184,>32,Non-functional,Functional,Sensitive
GCF_900515395.1,EuSCAPE_IT188,>32,Non-functional,Functional,Sensitive
GCF_900515365.1,EuSCAPE_IT190,>32,Non-functional,Functional,Sensitive
GCF_900515425.1,EuSCAPE_IT274,>32,Non-functional,Functional,Sensitive
GCF_900515645.1,EuSCAPE_IT404,>32,Non-functional,Functional,Sensitive
GCF_900515795.1,EuSCAPE_IT294,>32,Non-functional,Functional,Sensitive
GCF_900515835.1,EuSCAPE_IT308,>32,Non-functional,Functional,Sensitive
GCF_900515875.1,EuSCAPE_IT318,>32,Non-functional,Functional,Sensitive
GCF_900515925.1,EuSCAPE_IT322,>32,Non-functional,Functional,Sensitive
GCF_900515935.1,EuSCAPE_IT324,>32,Non-functional,Functional,Sensitive
GCF_900515945.1,EuSCAPE_IT326,>32,Non-functional,Functional,Sensitive
GCF_900516055.1,EuSCAPE_IT333,>32,Non-functional,Functional,Sensitive
GCF_900516085.1,EuSCAPE_IT343,>32,Non-functional,Functional,Sensitive
GCF_900516195.1,EuSCAPE_IT359,>32,Non-functional,Functional,Sensitive
GCF_900516235.1,EuSCAPE_IT366,>32,Non-functional,Functional,Sensitive
GCF_900503885.1,EuSCAPE_UK057,>32,Non-functional,Functional,Sensitive
GCF_900508495.1,EuSCAPE_IL069,>32,Non-functional,Functional,Sensitive
GCF_900508525.1,EuSCAPE_IT094,>32,Non-functional,Functional,Sensitive
GCF_900513775.1,EuSCAPE_IL080,>32,Non-functional,Functional,Sensitive
GCF_902156315.1,EuSCAPE_IT278,>32,Non-functional,Functional,Sensitive
GCF_900515735.1,EuSCAPE_IT286,>32,Non-functional,Functional,Sensitive
GCF_900513815.1,EuSCAPE_IL029,>32,Non-functional,Functional,Sensitive
GCF_900513315.1,EuSCAPE_IT080,>32,Non-functional,Functional,Sensitive
GCF_900516035.1,EuSCAPE_IT336,>32,Non-functional,Functional,Unknown
GCF_900506975.1,EuSCAPE_BE084,>32,Non-functional,Functional,Unknown
GCF_902156345.1,EuSCAPE_BE098,>32,Non-functional,Functional,Unknown
GCF_900508555.1,EuSCAPE_IT087,0.25,Non-functional,Functional,Unknown
GCF_900503775.1,EuSCAPE_SC001,≤0.06,Non-functional,Functional,Sensitive
GCF_900513085.1,EuSCAPE_IT049,≤0.06,Non-functional,Functional,Sensitive
GCF_900513095.1,EuSCAPE_IT053,≤0.06,Non-functional,Functional,Sensitive
GCF_900513355.1,EuSCAPE_IT085,≤0.06,Non-functional,Functional,Unknown
GCF_900517065.1,EuSCAPE_BU024,16,Non-functional,Functional,Sensitive
GCF_902157185.1,EuSCAPE_DE024,>32,Non-functional,Functional,Resistant
GCF_900500845.1,EuSCAPE_GR070,0.12,Non-functional,Functional,Sensitive
GCF_900504185.1,EuSCAPE_RO069,16,Non-functional,Functional,Resistant
GCF_900504035.1,EuSCAPE_RO051,32,Non-functional,Functional,Resistant
GCF_900504285.1,EuSCAPE_RO078,32,Non-functional,Functional,Resistant
GCF_900504305.1,EuSCAPE_RO080,32,Non-functional,Functional,Resistant
GCF_900504735.1,EuSCAPE_RO018,32,Non-functional,Functional,Resistant
GCF_900504635.1,EuSCAPE_RO033,32,Non-functional,Functional,Resistant
GCF_900506905.1,EuSCAPE_BE076,32,Non-functional,Functional,Unknown
GCF_900504525.1,EuSCAPE_RO016,>32,Non-functional,Functional,Resistant
GCF_900504125.1,EuSCAPE_RO064,>32,Non-functional,Functional,Sensitive
GCF_900504145.1,EuSCAPE_RO065,>32,Non-functional,Functional,Sensitive
GCF_900504025.1,EuSCAPE_RO045,1,Non-functional,Functional,Sensitive
GCF_902156115.1,EuSCAPE_UK065,32,Non-functional,Functional,Sensitive
GCF_900502525.1,EuSCAPE_DK001,Not tested,Non-functional,Functional,Unknown
GCF_900501875.1,EuSCAPE_PT058,Not tested,Non-functional,Functional,Unknown
GCF_900514075.1,EuSCAPE_IT011,≤0.06,Non-functional,Functional,Sensitive
GCF_900508485.1,EuSCAPE_LT009,1,Non-functional,Functional,Sensitive
GCF_900501845.1,EuSCAPE_PT054,Not tested,Non-functional,Functional,Unknown
GCF_900502195.1,EuSCAPE_PT097,Not tested,Non-functional,Functional,Unknown
GCF_900504545.1,EuSCAPE_RO100,Not tested,Non-functional,Functional,Unknown
GCF_900508425.1,EuSCAPE_SK026,0.5,Non-functional,Functional,Resistant
GCF_900510605.1,EuSCAPE_SK003,≤0.06,Non-functional,Functional,Sensitive
GCF_900510775.1,EuSCAPE_SK025,≤0.06,Non-functional,Functional,Sensitive
GCF_900511015.1,EuSCAPE_CZ014,≤0.06,Non-functional,Functional,Sensitive
GCF_900512855.1,EuSCAPE_IT023,≤0.06,Non-functional,Functional,Sensitive
GCF_900505955.1,EuSCAPE_RO109,0.5,Non-functional,Functional,Resistant
GCF_900501985.1,EuSCAPE_PT068,Not tested,Functional,Non-functional,Unknown
GCF_900511395.1,EuSCAPE_PL016,8,Functional,Non-functional,Resistant
GCF_900510805.1,EuSCAPE_SK030,8,Functional,Non-functional,Sensitive
GCF_900517575.1,EuSCAPE_ES253,32,Functional,Non-functional,Sensitive
GCF_900508345.1,EuSCAPE_FR049,1,Functional,Non-functional,Sensitive
GCF_900511415.1,EuSCAPE_PL014,2,Functional,Non-functional,Resistant
GCF_900505675.1,EuSCAPE_HR003,2,Functional,Non-functional,Unknown
GCF_900516305.1,EuSCAPE_ES055,>32,Non-functional,Non-functional,Sensitive
GCF_900511275.1,EuSCAPE_SK031,4,Functional,Non-functional,Sensitive
GCF_900512555.1,EuSCAPE_DE055,4,Functional,Non-functional,Sensitive
GCF_900513515.1,EuSCAPE_IL057,4,Functional,Non-functional,Sensitive
GCF_900501755.1,EuSCAPE_PT042,Not tested,Functional,Non-functional,Unknown
GCF_900510275.1,EuSCAPE_PL045,8,Functional,Non-functional,Resistant
GCF_900511645.1,EuSCAPE_FR030,8,Functional,Non-functional,Sensitive
GCF_900510965.1,EuSCAPE_CZ008,32,Functional,Non-functional,Sensitive
GCF_900504695.1,EuSCAPE_UK007,0.12,Functional,Non-functional,Sensitive
GCF_900508365.1,EuSCAPE_SK012,0.12,Functional,Non-functional,Sensitive
GCF_900510215.1,EuSCAPE_PL032,0.5,Functional,Non-functional,Resistant
GCF_900510625.1,EuSCAPE_SK006,2,Functional,Non-functional,Sensitive
GCF_900511745.1,EuSCAPE_FR057,2,Functional,Non-functional,Sensitive
GCF_900504875.1,EuSCAPE_UK029,2,Functional,Non-functional,Sensitive
GCF_900516865.1,EuSCAPE_HU027,≤0.06,Functional,Non-functional,Sensitive
GCF_900507595.1,EuSCAPE_BE106,32,Non-functional,Non-functional,Unknown
GCF_900517115.1,EuSCAPE_HU001,2,Non-functional,Non-functional,Sensitive
GCF_900503505.1,EuSCAPE_RS054,>32,Non-functional,Non-functional,Sensitive
GCF_900505915.1,EuSCAPE_HR029,4,Non-functional,Non-functional,Unknown
GCF_900510765.1,EuSCAPE_SK024,4,Non-functional,Non-functional,Sensitive
GCF_900512405.1,EuSCAPE_DE035,4,Non-functional,Non-functional,Sensitive
GCF_900513805.1,EuSCAPE_IL084,4,Non-functional,Non-functional,Resistant
GCF_900508705.1,EuSCAPE_TR200,32,Functional,Non-functional,Sensitive
GCF_900516855.1,EuSCAPE_HU024,0.25,Functional,Non-functional,Sensitive
GCF_900516365.1,EuSCAPE_ES057,>32,Non-functional,Non-functional,Sensitive
GCF_900506065.1,EuSCAPE_HR063,4,Functional,Non-functional,Unknown
GCF_900510595.1,EuSCAPE_SK002,4,Functional,Non-functional,Sensitive
GCF_900501725.1,EuSCAPE_PT037,Not tested,Functional,Non-functional,Unknown
GCF_900511355.1,EuSCAPE_PL001,1,Functional,Non-functional,Sensitive
GCF_900508395.1,EuSCAPE_CZ005,2,Functional,Non-functional,Sensitive
GCF_900511425.1,EuSCAPE_PL024,4,Functional,Non-functional,Sensitive
GCF_900506165.1,EuSCAPE_HR074,4,Functional,Non-functional,Unknown
GCF_900506245.1,EuSCAPE_HR087,4,Functional,Non-functional,Unknown
GCF_900512275.1,EuSCAPE_DE020,1,Functional,Non-functional,Sensitive
GCF_900509615.1,EuSCAPE_HU040,0.25,Functional,Non-functional,Unknown
GCF_900501665.1,EuSCAPE_PT030,Not tested,Functional,Non-functional,Unknown
GCF_900502565.1,EuSCAPE_DK007,Not tested,Functional,Non-functional,Unknown
GCF_900510165.1,EuSCAPE_AT006,8,Functional,Non-functional,Sensitive
GCF_900509885.1,EuSCAPE_AT002,8,Functional,Non-functional,Sensitive
GCF_900511625.1,EuSCAPE_EE004,2,Functional,Non-functional,Sensitive
GCF_900509985.1,EuSCAPE_EE003,≤0.06,Functional,Non-functional,Unknown
GCF_900503415.1,EuSCAPE_HR075,8,Functional,Non-functional,Unknown
GCF_900504785.1,EuSCAPE_UK019,0.12,Functional,Non-functional,Sensitive
GCF_900513285.1,EuSCAPE_IT076,8,Non-functional,Non-functional,Sensitive
GCF_902156185.1,EuSCAPE_ES046,>32,Functional,Non-functional,Sensitive
GCF_900512525.1,EuSCAPE_DE047,4,Non-functional,Non-functional,Sensitive
GCF_900511505.1,EuSCAPE_PL056,2,Non-functional,Non-functional,Sensitive
GCF_900513665.1,EuSCAPE_IL072,4,Functional,Non-functional,Sensitive
GCF_900515495.1,EuSCAPE_IT380,4,Functional,Non-functional,Resistant
GCF_900504965.1,EuSCAPE_HR099,4,Functional,Non-functional,Unknown
GCF_902156025.1,EuSCAPE_AT023,>32,Functional,Non-functional,Sensitive
GCF_900512365.1,EuSCAPE_DE034,1,Functional,Non-functional,Sensitive
GCF_900510945.1,EuSCAPE_FR067,2,Functional,Non-functional,Sensitive
GCF_900505935.1,EuSCAPE_HR047,2,Functional,Non-functional,Unknown
GCF_902155995.1,EuSCAPE_TR203,>32,Non-functional,Non-functional,Resistant
GCF_900508715.1,EuSCAPE_TR202,>32,Non-functional,Non-functional,Unknown
GCF_900511265.1,EuSCAPE_FR079,≤0.06,Non-functional,Non-functional,Sensitive
GCF_900513485.1,EuSCAPE_IL051,2,Non-functional,Non-functional,Resistant
GCF_900507285.1,EuSCAPE_TR100,>32,Functional,Non-functional,Sensitive
GCF_900510465.1,EuSCAPE_AT010,2,Functional,Non-functional,Sensitive
GCF_900508275.1,EuSCAPE_AT025,4,Functional,Non-functional,Sensitive
GCF_900506015.1,EuSCAPE_HR059,4,Functional,Non-functional,Unknown
GCF_900506045.1,EuSCAPE_HR061,4,Functional,Non-functional,Unknown
GCF_900512315.1,EuSCAPE_DE023,8,Non-functional,Non-functional,Sensitive
GCF_900516405.1,EuSCAPE_ES066,4,Functional,Non-functional,Sensitive
GCF_900505745.1,EuSCAPE_HR020,4,Functional,Non-functional,Unknown
GCF_900511435.1,EuSCAPE_PL018,8,Functional,Non-functional,Resistant
GCF_900504055.1,EuSCAPE_RO048,4,Non-functional,Non-functional,Sensitive
GCF_900506325.1,EuSCAPE_IE017,8,Functional,Non-functional,Sensitive
GCF_900509865.1,EuSCAPE_BE101,1,Functional,Non-functional,Unknown
GCF_900500805.1,EuSCAPE_GR033,0.5,Functional,Non-functional,Unknown
GCF_900504835.1,EuSCAPE_UK040,0.25,Functional,Non-functional,Sensitive
GCF_900516645.1,EuSCAPE_ES103,2,Functional,Non-functional,Sensitive
GCF_900501815.1,EuSCAPE_PT051,Not tested,Functional,Non-functional,Unknown
GCF_900510935.1,EuSCAPE_SK044,0.5,Functional,Non-functional,Sensitive
GCF_902155895.1,EuSCAPE_ES094,>32,Functional,Non-functional,Sensitive
GCF_900507735.1,EuSCAPE_TR025,16,Functional,Non-functional,Sensitive
GCF_900503735.1,EuSCAPE_LU019,32,Functional,Non-functional,Resistant
GCF_900503055.1,EuSCAPE_SI020,1,Functional,Non-functional,Sensitive
GCF_900507085.1,EuSCAPE_RS107,0.5,Functional,Non-functional,Unknown
GCF_900509685.1,EuSCAPE_SI005,2,Non-functional,Non-functional,Sensitive
GCF_900503025.1,EuSCAPE_SI014,Not tested,Functional,Non-functional,Sensitive
GCF_900511045.1,EuSCAPE_CZ017,8,Functional,Non-functional,Sensitive
GCF_900511315.1,EuSCAPE_CZ002,2,Functional,Non-functional,Sensitive
GCF_900517785.1,EuSCAPE_LU001,4,Non-functional,Non-functional,Sensitive
GCF_900517795.1,EuSCAPE_LU002,4,Non-functional,Non-functional,Unknown
GCF_900502945.1,EuSCAPE_LU012,4,Non-functional,Non-functional,Unknown
GCF_900506385.1,EuSCAPE_IE031,2,Functional,Non-functional,Sensitive
GCF_900506815.1,EuSCAPE_BE061,4,Functional,Non-functional,Unknown
GCF_900512355.1,EuSCAPE_DE026,4,Non-functional,Non-functional,Unknown
GCF_900505685.1,EuSCAPE_HR010,8,Functional,Non-functional,Unknown
GCF_900505775.1,EuSCAPE_HR017,8,Functional,Non-functional,Unknown
GCF_900511095.1,EuSCAPE_CZ032,0.5,Functional,Non-functional,Sensitive
GCF_900515675.1,EuSCAPE_IT405,>32,Functional,Non-functional,Sensitive
GCF_900508375.1,EuSCAPE_SK008,4,Functional,Non-functional,Sensitive
GCF_900513745.1,EuSCAPE_IL081,1,Functional,Non-functional,Sensitive
GCF_900512565.1,EuSCAPE_DE057,2,Functional,Non-functional,Sensitive
GCF_900510875.1,EuSCAPE_SK039,2,Functional,Non-functional,Sensitive
GCF_900503335.1,EuSCAPE_HR005,4,Functional,Non-functional,Unknown
GCF_900503855.1,EuSCAPE_UK058,Not tested,Functional,Non-functional,Sensitive
GCF_900505765.1,EuSCAPE_HR016,8,Functional,Non-functional,Unknown
GCF_900513405.1,EuSCAPE_IT083,≤0.06,Functional,Non-functional,Unknown
GCF_900507055.1,EuSCAPE_BE097,4,Non-functional,Non-functional,Unknown
GCF_900510905.1,EuSCAPE_SK046,8,Non-functional,Non-functional,Sensitive
GCF_900510195.1,EuSCAPE_PL025,2,Functional,Non-functional,Sensitive
GCF_900508385.1,EuSCAPE_SK018,2,Functional,Non-functional,Sensitive
GCF_900500705.1,EuSCAPE_GR022,>32,Non-functional,Non-functional,Sensitive
GCF_900511305.1,EuSCAPE_CZ001,0.5,Functional,Non-functional,Sensitive
GCF_900510835.1,EuSCAPE_SK036,4,Non-functional,Non-functional,Sensitive
GCF_900510645.1,EuSCAPE_SK007,2,Non-functional,Non-functional,Sensitive
GCF_900502855.1,EuSCAPE_PT029,Not tested,Functional,Non-functional,Unknown
GCF_900508255.1,EuSCAPE_TR306,0.25,Functional,Non-functional,Unknown
GCF_900502655.1,EuSCAPE_PT001,Not tested,Functional,Non-functional,Unknown
GCF_900502805.1,EuSCAPE_PT020,Not tested,Functional,Non-functional,Unknown
GCF_900503845.1,EuSCAPE_UK055,0.5,Functional,Non-functional,Sensitive
GCF_900505025.1,EuSCAPE_HR090,16,Functional,Non-functional,Unknown
GCF_900506255.1,EuSCAPE_HR084,1,Functional,Non-functional,Unknown
GCF_900510475.1,EuSCAPE_FR020,1,Non-functional,Non-functional,Sensitive
GCF_900516765.1,EuSCAPE_HU014,0.25,Non-functional,Non-functional,Resistant
GCF_900510795.1,EuSCAPE_SK033,1,Non-functional,Non-functional,Sensitive
